group,names,scores,logfoldchanges,pvals,pvals_adj
iEC,eIF3e,-0.51759815,0.06974174,0.6047386797593586,1.0
iEC,CG14721,-0.5194602,-0.99438965,0.6034398637217822,1.0
iEC,Ndc80,-0.51949567,-0.7034577,0.6034151365449947,1.0
iEC,CG2906,-0.5195666,-1.2817931,0.6033656835582484,1.0
iEC,slmo,-0.51981485,-0.55601156,0.6031926124587249,1.0
iEC,CG34057,-0.52018726,-0.44677392,0.6029330476890864,1.0
iEC,FucTB,-0.52086115,-0.93198735,0.6024634868828245,1.0
iEC,bor,-0.5214375,-0.11830486,0.6020620195562558,1.0
iEC,CG1233,-0.5216326,-0.26998216,0.6019261656273441,1.0
iEC,CG4338,-0.5222178,-0.41190997,0.6015186867952698,1.0
iEC,CG1792,-0.5224395,-0.79736596,0.6013643712613816,1.0
iEC,Taf9,-0.5225459,-0.8146292,0.6012903061523343,1.0
iEC,CG30105,-0.52295375,-0.4665975,0.6010064280545018,1.0
iEC,Vang,-0.524869,0.048820958,0.5996742454470178,1.0
iEC,CG1513,-0.52533895,0.0023215371,0.5993475716809664,1.0
